epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,3517.03,0.70017,1.23869,0.58218,0.97069,0.87681,0.83122,0.90166,0.7108,0.88445,0.83808,0.90047,0.70035,0.89025,1.21149,0.56983,1.28861,0.0004952,0.0004952,0.0004952
78,3562.06,0.67509,1.19024,0.56081,0.95698,0.89412,0.81752,0.88504,0.70295,0.89412,0.81752,0.88213,0.694,0.66528,1.19715,0.50984,1.09582,0.0004754,0.0004754,0.0004754
79,3607.16,0.67481,1.18735,0.5654,0.96183,0.87321,0.80431,0.8881,0.7122,0.88113,0.81161,0.89163,0.6928,0.66748,1.28159,0.61128,1.07887,0.0004556,0.0004556,0.0004556
80,3653.25,0.67366,1.20369,0.56706,0.95785,0.8965,0.83212,0.89442,0.71491,0.9054,0.83942,0.89493,0.70726,0.66383,1.25211,0.58032,1.05583,0.0004358,0.0004358,0.0004358
81,3697.84,0.67275,1.1974,0.55494,0.95875,0.90742,0.82482,0.89024,0.71086,0.91545,0.83212,0.89598,0.70395,0.71923,1.25669,0.60766,1.09752,0.000416,0.000416,0.000416
82,3743.46,0.66948,1.16813,0.55262,0.95779,0.88922,0.82027,0.88629,0.70877,0.89711,0.8274,0.88983,0.70414,0.68913,1.21978,0.57914,1.08853,0.0003962,0.0003962,0.0003962
83,3788.3,0.66248,1.16774,0.54922,0.95798,0.85893,0.84672,0.88487,0.70399,0.86634,0.85401,0.88544,0.69871,0.71623,1.23315,0.5672,1.10548,0.0003764,0.0003764,0.0003764
84,3833.29,0.66336,1.18518,0.55134,0.95478,0.88551,0.81022,0.8852,0.70776,0.88764,0.80731,0.88236,0.69605,0.86044,1.41325,0.62922,1.29548,0.0003566,0.0003566,0.0003566
85,3878.66,0.67012,1.18776,0.54621,0.95744,0.87893,0.78832,0.8875,0.71868,0.88893,0.79562,0.89402,0.70758,0.77726,1.29016,0.61376,1.16139,0.0003368,0.0003368,0.0003368
86,3923.97,0.66939,1.16292,0.55072,0.95823,0.9151,0.78673,0.8914,0.71473,0.92331,0.79088,0.89162,0.69703,0.90326,1.36096,0.6334,1.35328,0.000317,0.000317,0.000317
87,3968.22,0.64613,1.14175,0.53593,0.94329,0.90243,0.81017,0.88719,0.71416,0.91056,0.81747,0.89594,0.70418,0.77799,1.35881,0.74412,1.15899,0.0002972,0.0002972,0.0002972
88,4014.1,0.66015,1.15819,0.54916,0.95307,0.88577,0.80292,0.88209,0.71411,0.90617,0.80292,0.88644,0.70032,0.82677,1.42983,0.66441,1.19019,0.0002774,0.0002774,0.0002774
89,4059.07,0.66478,1.16533,0.55002,0.95344,0.88601,0.79432,0.88316,0.71502,0.89415,0.80162,0.8892,0.7018,0.70267,1.37414,0.64574,1.0726,0.0002576,0.0002576,0.0002576
90,4104.48,0.64384,1.13795,0.52856,0.94454,0.89443,0.80394,0.88776,0.7181,0.90255,0.81124,0.8891,0.69853,0.61944,1.27952,0.55374,1.03299,0.0002378,0.0002378,0.0002378
91,4148.68,0.60427,1.07043,0.49704,0.92515,0.90018,0.79562,0.88259,0.69816,0.90018,0.79562,0.88045,0.68912,0.87993,1.39869,0.65179,1.27422,0.000218,0.000218,0.000218
92,4191.01,0.59927,1.06197,0.48221,0.92046,0.90603,0.78832,0.88084,0.69972,0.89492,0.80811,0.8753,0.68863,0.76646,1.42761,0.70588,1.1658,0.0001982,0.0001982,0.0001982
93,4233.43,0.5874,1.04291,0.4736,0.91358,0.89339,0.79562,0.8807,0.69597,0.90581,0.78102,0.87626,0.68256,0.82489,1.48416,0.703,1.20991,0.0001784,0.0001784,0.0001784
94,4275.49,0.58045,1.03962,0.46687,0.91183,0.87885,0.79423,0.88121,0.69615,0.87414,0.81116,0.87806,0.68885,0.86627,1.42366,0.61982,1.24564,0.0001586,0.0001586,0.0001586
95,4317.49,0.58671,1.0416,0.46836,0.91338,0.89013,0.79562,0.87789,0.69945,0.89013,0.79562,0.87234,0.68299,0.83018,1.39394,0.60997,1.21941,0.0001388,0.0001388,0.0001388
96,4360.16,0.58264,1.02575,0.4614,0.91251,0.8902,0.79562,0.88454,0.70283,0.8902,0.79562,0.87869,0.69409,0.81637,1.48241,0.6745,1.17623,0.000119,0.000119,0.000119
97,4402,0.57987,1.03615,0.46288,0.91052,0.89983,0.78684,0.88172,0.70244,0.89983,0.78684,0.87943,0.69292,0.8397,1.41977,0.67178,1.21188,9.92e-05,9.92e-05,9.92e-05
98,4443.94,0.57389,1.0266,0.45562,0.90444,0.89344,0.78832,0.88519,0.70558,0.9016,0.80253,0.89258,0.68967,0.82975,1.43194,0.64329,1.2049,7.94e-05,7.94e-05,7.94e-05
99,4486.58,0.57087,1.02412,0.45122,0.90595,0.89411,0.80121,0.88425,0.70445,0.89411,0.80121,0.88006,0.69253,0.78663,1.40263,0.61869,1.1559,5.96e-05,5.96e-05,5.96e-05
100,4528.35,0.57555,1.02608,0.45226,0.90349,0.88739,0.79562,0.8802,0.70045,0.88739,0.79562,0.87469,0.68842,0.80123,1.45953,0.61929,1.17283,3.98e-05,3.98e-05,3.98e-05
